depth,xPixel,yPixel,R,leftLine,theta
1820.0,50,4850.5,7.4,1,3.7777777777777777
1821.0,24,4862.5,7.4,0,1.0476190476190477
1825.0,34,4901.5,7.4,0,2.0
1827.0,36,4922.5,7.4,1,2.2222222222222223
1829.0,36,4944.5,7.4,1,2.2222222222222223
1830.5,24,4960.5,6.2,0,1.0476190476190477
1832.5,24,4981.5,7.4,0,1.0476190476190477
1834.5,32,5001.5,7.4,0,1.8095238095238095
1836.5,24,5022.5,7.4,0,1.0476190476190477
1838.5,24,5043.5,7.1,0,1.0476190476190477
1840.0,22,5063.5,6.2,0,0.8571428571428571
1842.0,24,5084.5,7.4,0,1.0476190476190477
1844.5,20,5111.5,7.4,0,0.6666666666666666
1847.0,42,5134.5,7.4,1,2.888888888888889
1847.5,434,5140.5,7.4,29,58.18181818181818
1847.5,16,5139.5,7.4,0,0.2857142857142857
1848.0,454,5145.5,5.9,30,60.74074074074074
1849.5,24,5164.5,7.4,0,1.0476190476190477
1851.5,30,5185.5,7.4,0,1.619047619047619
1853.5,24,5206.5,7.4,0,1.0476190476190477
1855.5,24,5226.5,7.4,0,1.0476190476190477
1858.0,24,5249.5,7.4,0,1.0476190476190477
1859.5,26,5269.5,6.2,0,1.2380952380952381
1861.5,24,5290.5,7.4,0,1.0476190476190477
1863.5,22,5310.5,7.4,0,0.8571428571428571
1865.5,24,5332.5,7.4,0,1.0476190476190477
1867.5,24,5352.5,6.2,0,1.0476190476190477
1869.5,40,5370.5,7.4,1,2.6666666666666665
1871.5,32,5393.5,7.4,0,1.8095238095238095
1873.5,24,5413.5,7.4,0,1.0476190476190477
1877.0,28,5449.5,6.0,0,1.4285714285714286
1879.0,22,5473.5,7.4,0,0.8571428571428571
1882.5,22,5512.5,7.4,0,0.8571428571428571
1884.5,36,5532.5,7.4,1,2.2222222222222223
1886.5,52,5554.5,7.4,2,4.0
1888.5,34,5571.5,7.4,1,2.0
1890.0,32,5591.5,7.4,0,1.8095238095238095
1894.0,24,5630.5,7.4,0,1.0476190476190477
1896.0,42,5650.5,7.4,1,2.888888888888889
1897.5,30,5669.5,7.4,0,1.619047619047619
1899.5,20,5691.5,7.4,0,0.6666666666666666
1901.5,24,5711.5,7.4,0,1.0476190476190477
1904.0,32,5734.5,7.4,0,1.8095238095238095
1905.5,20,5750.5,7.4,0,0.6666666666666666
1907.0,20,5770.5,7.4,0,0.6666666666666666
1909.0,24,5790.5,7.4,0,1.0476190476190477
1911.0,14,5809.5,7.4,0,0.09523809523809523
1913.0,24,5831.5,7.4,0,1.0476190476190477
1915.0,20,5853.5,7.4,0,0.6666666666666666
1917.0,28,5872.5,7.4,0,1.4285714285714286
1919.0,32,5896.5,7.4,0,1.8095238095238095
1921.0,32,5916.5,7.4,0,1.8095238095238095
1922.5,48,5930.5,6.0,1,3.5555555555555554
1924.5,38,5954.5,7.4,1,2.4444444444444446
1926.5,34,5975.5,7.4,0,2.0
1928.5,20,5995.5,7.4,0,0.6666666666666666
1930.5,24,6016.5,7.4,0,1.0476190476190477
1934.0,24,6054.5,7.4,0,1.0476190476190477
1936.5,24,6077.5,7.4,0,1.0476190476190477
1940.5,24,6120.5,7.4,0,1.0476190476190477
1942.0,50,6136.5,7.4,1,3.7777777777777777
1943.5,446,6153.5,7.4,30,60.148148148148145
1944.0,28,6158.5,7.4,0,1.4285714285714286
1945.0,434,6171.5,7.4,29,58.18181818181818
1946.0,34,6180.5,7.4,0,2.0
1947.0,448,6191.5,7.4,30,60.2962962962963
1948.0,46,6198.5,7.4,1,3.333333333333333
1950.0,38,6220.5,7.4,1,2.4444444444444446
1952.0,26,6240.5,7.4,0,1.2380952380952381
1954.0,42,6262.5,7.4,1,2.888888888888889
1955.5,32,6280.5,7.4,0,1.8095238095238095
1957.5,22,6301.5,7.4,0,0.8571428571428571
1959.5,26,6321.5,7.4,0,1.2380952380952381
1961.5,16,6344.5,7.4,0,0.2857142857142857
1963.0,32,6358.5,7.4,0,1.8095238095238095
1966.5,30,6397.5,7.4,0,1.619047619047619
1970.5,32,6438.5,7.4,0,1.8095238095238095
1971.5,10,6446.5,7.4,0,-0.2857142857142857
1974.5,42,6478.5,7.4,1,2.888888888888889
1976.5,54,6502.5,7.4,2,4.2
1978.5,24,6524.5,7.4,0,1.0476190476190477
1980.5,40,6542.5,7.4,1,2.6666666666666665
1982.0,32,6561.5,7.4,0,1.8095238095238095
1984.0,26,6581.5,7.4,0,1.2380952380952381
1988.0,28,6620.5,7.4,0,1.4285714285714286
1990.0,40,6643.5,7.4,1,2.6666666666666665
1991.5,22,6660.5,5.2,0,0.8571428571428571
1994.0,48,6687.5,6.0,1,3.5555555555555554
