,xPixel,yPixel,R,upLine,leftLine,depth,dip_x,dip_azimuth_x,ang_nxt,ang_prev,dist_nxt,dist_prev,cosHit_nxt,cosHit_prev,an_diff,ap_diff,hitNext,hitPrev,dip_y,dip_azimuth_y,err
55,188.5,1384.5,7.3,13,9,1477.0,19.933333333333334,177.5362166197693,115.769325,71.87814,96.60745,57.870544,1.8972985,1.2427803,61.76689136342165,105.65807330922243,False,False,27.5,263.0,0.4747987965568372
56,275.5,1426.5,8.4,14,16,1481.5,32.07142857142857,0.0,97.570885,295.76932,159.38947,96.60745,2.8874574,1.8972985,97.57088470458984,64.23068237304688,False,False,32.2,0.0,0.0
57,433.5,1447.5,8.4,14,29,1483.5,58.09090909090909,212.30132948983783,264.78308,277.5709,230.95671,159.38947,4.1222496,2.8874574,52.481751564849674,65.26956284414655,False,False,58.2,212.0,0.001674052721321257
58,203.5,1468.5,8.4,14,10,1485.5,21.933333333333334,204.62778746008465,132.27368,84.78308,59.464275,230.95671,1.2648371,4.1222496,72.35410581945965,119.84470640539715,False,False,21.9,204.0,0.0034877081115813743
59,247.5,1508.5,7.4,14,13,1489.5,27.928571428571427,238.2861847635322,255.79323,312.27368,81.49233,59.464275,1.6394174,1.2648371,17.50704338588187,73.98749687709281,False,False,28.1,239.0,0.00396564020259894
60,168.5,1528.5,6.3,15,8,1491.5,17.3125,262.4880514606427,97.6668,75.79321,157.40712,81.49233,3.0675595,1.6394174,164.82125000800596,173.30516142998232,False,False,17.4,264.0,0.008399714107540666
61,324.5,1549.5,7.3,15,19,1493.5,39.61538461538461,330.86294915502555,265.064,277.6668,220.81892,157.40712,4.1002717,3.0675595,65.79895379369742,53.1961400729943,False,False,39.5,335.0,0.02298361580541363
62,104.5,1568.5,7.1,15,4,1495.5,9.61111111111111,138.48742978077675,127.87499,85.063995,34.20526,220.81892,0.989213,4.1002717,10.612437410171282,53.423434419448625,True,False,9.9,6.0,0.736041276559871
63,131.5,1589.5,7.4,15,6,1497.5,12.764705882352942,291.8336420137642,96.90032,307.875,158.14551,34.20526,2.964363,0.989213,165.06667994668504,16.041357986235823,False,True,12.9,291.0,0.004631344520912093
64,288.5,1608.5,8.4,15,16,1499.5,33.92857142857143,40.92555749201691,133.72697,276.90033,31.827662,158.14551,0.96751094,2.964363,92.80141699528781,124.02522790217313,False,False,34.1,44.0,0.01708023615546163
65,311.5,1630.5,6.3,16,18,1501.5,37.583333333333336,33.869425994921556,264.6,313.727,201.89601,31.827662,3.8968232,0.96751094,129.26941989140596,80.14243624882783,False,False,37.8,37.0,0.017392077805991352
66,110.5,1649.5,7.4,16,5,1503.5,10.294117647058824,13.386864312557979,155.77226,84.600006,21.931713,201.89601,0.96623486,3.8968232,142.3853982606842,71.21314179095765,False,False,10.5,12.0,0.0077048017364331955
67,119.5,1669.5,7.4,16,5,1505.5,11.352941176470589,2.6773728625115956,164.05461,335.77228,21.84033,21.931713,0.96693563,0.96623486,161.37723834354313,26.905095030480425,False,True,11.4,6.0,0.018459039652713394
68,125.5,1690.5,8.2,16,6,1507.5,12.058823529411764,43.87514685094233,102.724365,344.05463,95.34149,21.84033,1.8252337,0.96693563,58.849218383432685,59.820520386098565,False,False,12.4,0.0,0.24375081583856842
69,218.5,1711.5,8.4,16,11,1509.5,23.933333333333334,79.29326764078272,104.198555,282.72437,85.61542,95.34149,1.6586778,1.8252337,24.905287351893065,156.5689024064077,False,False,24.0,77.0,0.012740375782126199
70,301.5,1732.5,8.4,17,17,1511.5,35.92307692307692,79.29326764078272,185.7106,284.19855,20.09975,85.61542,0.9986083,1.6586778,106.41733416585794,155.09472027750144,False,False,35.9,79.0,0.0016292646710150886
